epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6194,1.55114,2.01528,1.01252,0.68423,0.57951,0.58713,0.38808,1.06657,0.5325,0.87789,0.0675,0.000328283,0.000328283
2,58.0254,1.09454,0.56748,0.87191,0.77087,0.5879,0.62119,0.40776,1.01186,0.51017,0.86862,0.0344934,0.000655066,0.000655066
3,85.6545,1.00066,0.51178,0.84915,0.80883,0.61498,0.66463,0.42391,0.92867,0.4871,0.85124,0.0014803,0.000975249,0.000975249
4,110.611,0.98141,0.52061,0.84548,0.75543,0.64623,0.66903,0.42921,0.93696,0.49745,0.85263,0.0009703,0.0009703,0.0009703
5,141.727,0.97348,0.52163,0.8497,0.76034,0.64498,0.69248,0.42345,0.91135,0.48961,0.8483,0.0009604,0.0009604,0.0009604
6,172.985,0.94753,0.49735,0.84,0.75981,0.67748,0.72183,0.46987,0.85037,0.43644,0.84048,0.0009505,0.0009505,0.0009505
7,197.458,0.91706,0.48167,0.84015,0.77628,0.67301,0.67333,0.46077,0.85164,0.42245,0.83897,0.0009406,0.0009406,0.0009406
8,217.832,0.89236,0.44417,0.83478,0.87989,0.59889,0.69661,0.45204,0.83902,0.42154,0.84367,0.0009307,0.0009307,0.0009307
9,240.455,0.92127,0.44586,0.83794,0.86389,0.5879,0.69432,0.45474,0.8217,0.41569,0.83721,0.0009208,0.0009208,0.0009208
10,262.942,0.86869,0.43068,0.83624,0.79124,0.64262,0.73998,0.46714,0.86245,0.4078,0.84383,0.0009109,0.0009109,0.0009109
11,285.161,0.85515,0.41818,0.83713,0.73831,0.7379,0.75343,0.50613,0.80463,0.38587,0.83511,0.000901,0.000901,0.000901
12,307.423,0.86843,0.41744,0.82942,0.67723,0.74207,0.69651,0.47482,0.8613,0.40297,0.84255,0.0008911,0.0008911,0.0008911
13,329.896,0.87756,0.43731,0.8362,0.82871,0.65646,0.76107,0.51578,0.8223,0.40319,0.83999,0.0008812,0.0008812,0.0008812
14,352.25,0.87857,0.44048,0.8347,0.67707,0.8004,0.7741,0.53306,0.76684,0.37764,0.83298,0.0008713,0.0008713,0.0008713
15,374.455,0.85398,0.42399,0.83628,0.62516,0.81082,0.78478,0.5179,0.78206,0.41073,0.83148,0.0008614,0.0008614,0.0008614
16,396.838,0.8345,0.41848,0.82128,0.70072,0.75873,0.77488,0.53526,0.79075,0.3836,0.83583,0.0008515,0.0008515,0.0008515
17,419.15,0.82786,0.39905,0.82926,0.89101,0.62748,0.78369,0.52089,0.80758,0.38914,0.83995,0.0008416,0.0008416,0.0008416
18,441.48,0.83952,0.40181,0.83505,0.78828,0.81082,0.81675,0.49779,0.82079,0.37826,0.83946,0.0008317,0.0008317,0.0008317
19,463.609,0.82998,0.40517,0.82682,0.79534,0.79207,0.82222,0.54413,0.79899,0.41854,0.83618,0.0008218,0.0008218,0.0008218
20,485.966,0.78915,0.39571,0.82697,0.76215,0.75665,0.7801,0.52522,0.76473,0.37293,0.83329,0.0008119,0.0008119,0.0008119
21,508.278,0.82261,0.39738,0.82177,0.7122,0.86498,0.86813,0.5571,0.79136,0.39908,0.83605,0.000802,0.000802,0.000802
22,530.755,0.82793,0.39325,0.82716,0.82235,0.8129,0.84928,0.56731,0.73841,0.37163,0.83011,0.0007921,0.0007921,0.0007921
23,552.871,0.80698,0.38135,0.82713,0.83083,0.77957,0.82536,0.56796,0.75321,0.37659,0.83383,0.0007822,0.0007822,0.0007822
24,575.156,0.86167,0.41869,0.82875,0.99317,0.69405,0.83235,0.53908,0.76178,0.38221,0.8301,0.0007723,0.0007723,0.0007723
25,597.465,0.82063,0.39196,0.82004,0.8156,0.76498,0.82149,0.54477,0.79643,0.36667,0.83676,0.0007624,0.0007624,0.0007624
26,619.902,0.81699,0.3895,0.81816,0.74404,0.81082,0.85078,0.58129,0.78025,0.39277,0.83021,0.0007525,0.0007525,0.0007525
27,642.332,0.80433,0.38604,0.83076,0.78849,0.80665,0.83582,0.55838,0.77076,0.38217,0.83252,0.0007426,0.0007426,0.0007426
28,664.581,0.7811,0.39115,0.82609,0.8314,0.7504,0.83084,0.58677,0.7597,0.40984,0.82365,0.0007327,0.0007327,0.0007327
29,687.033,0.79645,0.39107,0.81593,0.8069,0.69415,0.80249,0.54567,0.7406,0.35523,0.82856,0.0007228,0.0007228,0.0007228
30,710.506,0.77844,0.37484,0.81995,0.75232,0.88998,0.90757,0.59215,0.71387,0.36336,0.82124,0.0007129,0.0007129,0.0007129
31,734.62,0.76269,0.37005,0.82222,0.88571,0.85873,0.90658,0.61374,0.72196,0.36797,0.82623,0.000703,0.000703,0.000703
32,757.145,0.80367,0.3693,0.8298,0.90465,0.85873,0.91061,0.59968,0.78719,0.37816,0.82961,0.0006931,0.0006931,0.0006931
33,779.412,0.74644,0.3595,0.81844,0.87638,0.84207,0.89955,0.60835,0.76755,0.38289,0.82666,0.0006832,0.0006832,0.0006832
34,801.861,0.79077,0.37534,0.82133,0.89012,0.82332,0.87946,0.61485,0.74728,0.35745,0.82419,0.0006733,0.0006733,0.0006733
35,824.433,0.78364,0.37071,0.82369,0.87237,0.83165,0.88307,0.61005,0.72646,0.36757,0.82786,0.0006634,0.0006634,0.0006634
36,846.792,0.78844,0.37272,0.81984,0.83289,0.76707,0.86061,0.61303,0.74328,0.36767,0.82539,0.0006535,0.0006535,0.0006535
37,869.124,0.76489,0.36132,0.82332,0.90179,0.75457,0.85559,0.58815,0.73879,0.3629,0.82726,0.0006436,0.0006436,0.0006436
38,891.386,0.75992,0.35889,0.82682,0.90878,0.86498,0.91201,0.6061,0.74175,0.35046,0.82785,0.0006337,0.0006337,0.0006337
39,913.771,0.74299,0.34846,0.8166,0.9332,0.83373,0.9014,0.61994,0.69897,0.34621,0.82315,0.0006238,0.0006238,0.0006238
40,936.292,0.74829,0.36478,0.82009,0.9203,0.81498,0.88271,0.62363,0.72086,0.36843,0.82278,0.0006139,0.0006139,0.0006139
41,958.912,0.71738,0.34755,0.81161,0.91672,0.85248,0.90455,0.61782,0.71856,0.36167,0.82301,0.000604,0.000604,0.000604
42,981.498,0.70452,0.34727,0.81301,0.88564,0.82957,0.88116,0.63076,0.68478,0.35039,0.82077,0.0005941,0.0005941,0.0005941
43,1003.89,0.77363,0.36137,0.82367,0.93036,0.86707,0.91606,0.62447,0.69771,0.35352,0.82124,0.0005842,0.0005842,0.0005842
44,1026.16,0.73807,0.35653,0.80905,0.92233,0.83582,0.89643,0.6316,0.70305,0.34967,0.82113,0.0005743,0.0005743,0.0005743
45,1048.45,0.74821,0.36175,0.8162,0.91409,0.75665,0.8564,0.61527,0.6895,0.34477,0.82056,0.0005644,0.0005644,0.0005644
46,1070.74,0.73955,0.35378,0.82126,0.89704,0.83165,0.89678,0.61851,0.68533,0.34902,0.81901,0.0005545,0.0005545,0.0005545
47,1093.03,0.72472,0.34865,0.81269,0.94255,0.78998,0.88356,0.61406,0.6826,0.35778,0.81737,0.0005446,0.0005446,0.0005446
48,1116.63,0.7206,0.35911,0.80978,0.94802,0.77748,0.87963,0.64446,0.65258,0.35557,0.81424,0.0005347,0.0005347,0.0005347
49,1139.53,0.70615,0.35109,0.80561,0.94666,0.81915,0.90258,0.65728,0.67503,0.36371,0.81805,0.0005248,0.0005248,0.0005248
50,1161.97,0.70812,0.35141,0.80475,0.88361,0.80457,0.87607,0.61523,0.69232,0.36435,0.81826,0.0005149,0.0005149,0.0005149
51,1184.29,0.74189,0.352,0.82035,0.87223,0.7754,0.85755,0.62395,0.68499,0.35929,0.81874,0.000505,0.000505,0.000505
52,1206.62,0.70378,0.34797,0.81218,0.9175,0.8129,0.89061,0.64413,0.68159,0.36016,0.8161,0.0004951,0.0004951,0.0004951
53,1229.06,0.70793,0.33507,0.8138,0.94169,0.76082,0.86459,0.64782,0.67053,0.34239,0.82078,0.0004852,0.0004852,0.0004852
54,1251.39,0.71344,0.33366,0.81798,0.9433,0.76082,0.86603,0.63103,0.72528,0.33442,0.82803,0.0004753,0.0004753,0.0004753
55,1273.66,0.7251,0.34209,0.8208,0.90581,0.83373,0.90013,0.65331,0.64759,0.33535,0.81569,0.0004654,0.0004654,0.0004654
56,1295.93,0.72001,0.34255,0.81554,0.92245,0.79623,0.88986,0.64239,0.73154,0.37118,0.82081,0.0004555,0.0004555,0.0004555
57,1318.23,0.72985,0.34597,0.81229,0.91214,0.81082,0.88726,0.64508,0.71204,0.34075,0.82008,0.0004456,0.0004456,0.0004456
58,1341.87,0.73453,0.34217,0.81368,0.95628,0.78582,0.88209,0.60622,0.70953,0.35773,0.81858,0.0004357,0.0004357,0.0004357
59,1364.12,0.72574,0.33707,0.81309,0.94327,0.8129,0.89321,0.63316,0.68183,0.34056,0.82027,0.0004258,0.0004258,0.0004258
60,1386.23,0.72773,0.34495,0.81517,0.90112,0.77123,0.87312,0.63723,0.66927,0.34067,0.81687,0.0004159,0.0004159,0.0004159
61,1408.44,0.71378,0.33255,0.81632,0.90517,0.80665,0.88123,0.65401,0.65168,0.31557,0.8173,0.000406,0.000406,0.000406
62,1430.89,0.67704,0.32133,0.81073,0.9414,0.81498,0.89266,0.65613,0.65963,0.33627,0.81899,0.0003961,0.0003961,0.0003961
63,1453.23,0.69914,0.32613,0.81544,0.93765,0.8254,0.90138,0.66325,0.68203,0.32249,0.81948,0.0003862,0.0003862,0.0003862
64,1475.62,0.71273,0.32774,0.81723,0.96595,0.80248,0.89279,0.66823,0.66595,0.31715,0.81835,0.0003763,0.0003763,0.0003763
65,1497.89,0.68556,0.32117,0.8117,0.93804,0.81915,0.90187,0.64886,0.67559,0.32144,0.819,0.0003664,0.0003664,0.0003664
66,1519.93,0.68431,0.3155,0.81763,0.94869,0.7754,0.87296,0.65253,0.67424,0.32545,0.81898,0.0003565,0.0003565,0.0003565
67,1542.18,0.68767,0.3226,0.80783,0.96353,0.79207,0.88447,0.65842,0.65671,0.31888,0.81736,0.0003466,0.0003466,0.0003466
68,1564.56,0.69228,0.32272,0.81245,0.96784,0.76707,0.8758,0.6545,0.69845,0.32486,0.82348,0.0003367,0.0003367,0.0003367
69,1586.96,0.69663,0.31874,0.81547,0.93572,0.74623,0.8524,0.6312,0.67181,0.322,0.81913,0.0003268,0.0003268,0.0003268
70,1609.23,0.69902,0.31688,0.81676,0.98511,0.7629,0.87537,0.67283,0.65567,0.31245,0.8177,0.0003169,0.0003169,0.0003169
71,1631.65,0.68719,0.32155,0.8111,0.94635,0.77957,0.87583,0.66051,0.65908,0.32593,0.81967,0.000307,0.000307,0.000307
72,1653.84,0.65367,0.30974,0.80434,0.94304,0.79415,0.88709,0.66469,0.64962,0.31602,0.81512,0.0002971,0.0002971,0.0002971
73,1676.33,0.67202,0.3111,0.80596,0.94168,0.79207,0.88215,0.66999,0.63963,0.31129,0.81673,0.0002872,0.0002872,0.0002872
74,1698.7,0.67315,0.31017,0.81088,0.96827,0.75665,0.86917,0.66031,0.64981,0.32732,0.81705,0.0002773,0.0002773,0.0002773
75,1721.26,0.66324,0.30896,0.81062,0.99022,0.71498,0.85429,0.67058,0.62632,0.31201,0.81374,0.0002674,0.0002674,0.0002674
76,1743.52,0.7041,0.32219,0.81436,0.97052,0.70248,0.84649,0.66108,0.63155,0.31638,0.81382,0.0002575,0.0002575,0.0002575
77,1765.78,0.66563,0.31832,0.81692,0.96989,0.73582,0.8611,0.6609,0.66663,0.32821,0.81968,0.0002476,0.0002476,0.0002476
78,1788.12,0.65513,0.31843,0.80837,0.97153,0.74623,0.86505,0.65887,0.65017,0.32211,0.81697,0.0002377,0.0002377,0.0002377
79,1810.43,0.64924,0.30299,0.81196,0.97489,0.7379,0.86258,0.66196,0.64046,0.32124,0.81479,0.0002278,0.0002278,0.0002278
80,1832.71,0.66704,0.31394,0.81224,0.96129,0.7754,0.88157,0.66322,0.65064,0.32492,0.81577,0.0002179,0.0002179,0.0002179
81,1854.89,0.65807,0.31043,0.8064,0.93442,0.7379,0.86348,0.6703,0.63323,0.31178,0.81452,0.000208,0.000208,0.000208
82,1877.16,0.6624,0.31178,0.81293,0.95835,0.77748,0.8823,0.66248,0.62949,0.3099,0.81591,0.0001981,0.0001981,0.0001981
83,1899.6,0.64709,0.29951,0.80795,0.97331,0.77123,0.87897,0.67127,0.61625,0.3088,0.81475,0.0001882,0.0001882,0.0001882
84,1921.95,0.65126,0.29842,0.80508,0.96769,0.74623,0.86491,0.66429,0.61967,0.30239,0.81405,0.0001783,0.0001783,0.0001783
85,1944.46,0.6317,0.30084,0.80616,0.96671,0.77332,0.87915,0.67197,0.63105,0.30509,0.81733,0.0001684,0.0001684,0.0001684
86,1962.71,0.62817,0.29218,0.80085,0.96796,0.74207,0.86318,0.66999,0.62205,0.29429,0.81367,0.0001585,0.0001585,0.0001585
87,1980.93,0.63995,0.29456,0.80944,0.97413,0.7379,0.86358,0.67431,0.6162,0.2963,0.81321,0.0001486,0.0001486,0.0001486
88,1999.12,0.64307,0.29543,0.81295,0.96296,0.7504,0.86908,0.67576,0.61542,0.29657,0.81357,0.0001387,0.0001387,0.0001387
89,2017.46,0.61909,0.28967,0.80666,0.96925,0.7504,0.86912,0.67266,0.62028,0.29466,0.81519,0.0001288,0.0001288,0.0001288
90,2035.64,0.62218,0.28249,0.79833,0.98094,0.74415,0.86675,0.66724,0.62745,0.30137,0.81636,0.0001189,0.0001189,0.0001189
91,2059.68,0.62882,0.29018,0.8118,0.96742,0.74832,0.86403,0.66669,0.63033,0.30202,0.81641,0.000109,0.000109,0.000109
92,2077.63,0.61243,0.27675,0.80123,0.95458,0.73998,0.85923,0.66753,0.61732,0.29922,0.81429,9.91e-05,9.91e-05,9.91e-05
93,2095.62,0.60945,0.28293,0.8066,0.96577,0.74832,0.8642,0.67295,0.6207,0.29862,0.81369,8.92e-05,8.92e-05,8.92e-05
94,2113.58,0.59845,0.2772,0.80854,0.96827,0.75665,0.86928,0.67469,0.61603,0.29452,0.81505,7.93e-05,7.93e-05,7.93e-05
95,2131.55,0.60602,0.28086,0.80589,0.97667,0.73998,0.86383,0.67514,0.61662,0.29405,0.81365,6.94e-05,6.94e-05,6.94e-05
96,2149.42,0.61797,0.27903,0.81184,0.97135,0.73373,0.86062,0.67889,0.61587,0.29286,0.81366,5.95e-05,5.95e-05,5.95e-05
97,2167.32,0.59964,0.27082,0.81405,0.97818,0.7379,0.86267,0.68113,0.61069,0.29526,0.81452,4.96e-05,4.96e-05,4.96e-05
98,2185.24,0.59574,0.27117,0.81381,0.97449,0.74207,0.86373,0.67885,0.60683,0.29397,0.81332,3.97e-05,3.97e-05,3.97e-05
99,2203.23,0.58408,0.26703,0.797,0.96629,0.7379,0.85961,0.67414,0.60774,0.29373,0.81388,2.98e-05,2.98e-05,2.98e-05
100,2221.06,0.57931,0.2671,0.80873,0.96796,0.7379,0.85952,0.67798,0.6066,0.2894,0.81331,1.99e-05,1.99e-05,1.99e-05
